"","region","village","villageID","AU.ID","IDlong","AU.name","aspect","type"
"76",1,"Dhamchyan",3,28,328,"Talang","","active"
"77",1,"Dhamchyan",3,29,329,"Baand","","active"
"78",1,"Dhamchyan",3,30,330,"Chaunthda","","active"
"79",1,"Dhamchyan",3,31,331,"Ghartyal","","unused"
"80",1,"Dhamchyan",3,32,332,"Marung","","underused"
"81",1,"Dhamchyan",3,33,333,"Kudsang","","underused"
"82",2,"Saperu",4,1,401,"Upper Saperu","","active"
"83",2,"Saperu",4,2,402,"Pasture near Gaihr","","unused"
"84",2,"Saperu",4,3,403,"Lahdu","","active"
"85",2,"Saperu",4,4,404,"Saperu main","","active"
"86",2,"Saperu",4,5,405,"Lhingni","","active"
"87",2,"Saperu",4,6,406,"Bhalvaat","","active"
"88",2,"Rachhiara",5,1,501,"Old Rachhiara","","unused"
"89",2,"Rachhiara",5,2,502,"Upper Rachhiara","","underused"
"90",2,"Rachhiara",5,3,503,"Upper Rachhiara on road to Nanahar","","active"
"91",2,"Rachhiara",5,4,504,"Upper Rachhiara main settlement","","active"
"92",2,"Rachhiara",5,5,505,"Rachhiara near stores","","active"
"93",2,"Rachhiara",5,6,506,"Above Ghoda","","active"
"94",2,"Rachhiara",5,7,507,"Near Kandbari Nala","","active"
"95",2,"Rachhiara",5,8,508,"Ghoda","","active"
"96",2,"Rachhiara",5,9,509,"Lahdi","","active"
"97",2,"Rachhiara",5,10,510,"Rachhiara main","","active"
"98",2,"Rachhiara",5,11,511,"Rachhiara Hay","","unused"
"99",2,"Rachhiara",5,12,512,"Lower Rachhiara","","active"
"100",3,"Suan",6,1,601,"Old rice fields","","underused"
"101",3,"Suan",6,2,602,"Upper Suan top","","active"
"102",3,"Suan",6,3,603,"Upper Suan Sukhram","","active"
"103",3,"Suan",6,4,604,"Upper Suan central","","active"
"104",3,"Suan",6,5,605,"Upper Suan near river","","unused"
"105",3,"Suan",6,6,606,"Lower Suan central","","active"
"106",3,"Suan",6,7,607,"Lower Suan middle","","unused"
"107",3,"Suan",6,8,608,"Lower Suan bottom","","unused"
"108",3,"Suan",6,9,609,"Kotta","","unused"
"109",3,"Suan",6,10,610,"Thhathh","","unused"
"110",3,"Suan",6,11,611,"Balli","","unused"
"111",3,"Suan",6,12,612,"Near panchayat office","","unused"
"112",3,"Suan",6,13,613,"Chokki","","unused"
"113",3,"Suan",6,14,614,"Across Khad","","unused"
"114",3,"Ropdi",7,1,701,"Laad main","","active"
"115",3,"Ropdi",7,2,702,"Laad lower","","underused"
"116",3,"Ropdi",7,3,703,"Laad mini","","active"
"117",3,"Ropdi",7,4,704,"Mandbasti Upper 1","","active"
"118",3,"Ropdi",7,5,705,"Mandbasti Upper 2","","active"
"119",3,"Ropdi",7,6,706,"Masandbasti Top","","active"
"120",3,"Ropdi",7,7,707,"Mandbasti Lower 1","","unused"
"121",3,"Ropdi",7,8,708,"Mandbasti Lower 2","","unused"
"122",3,"Ropdi",7,9,709,"Masandbasti lumber","","unused"
"123",3,"Ropdi",7,10,710,"Lohakkar Kola Central","","active"
"124",3,"Ropdi",7,11,711,"Lohakkar Kola below road","","underused"
"125",3,"Ropdi",7,12,712,"Lohakkar Kola Lower","","unused"
